generation;fitness;w1;w2;w3;w4;w5;w6;w7;
5;35000.000000;0.422107;0.221992;1.000000;0.706117;0.298273;1.000000;0.502257;
5;20000.000000;0.902491;0.221992;0.808312;0.849421;0.359430;0.211440;0.848811;
5;13000.000000;0.000000;0.003769;1.000000;0.849421;0.359430;0.211440;0.848811;
5;22000.000000;0.000000;0.294907;0.808312;0.706117;0.298273;1.000000;0.653141;
5;35000.000000;0.027770;0.003769;0.708790;0.849421;0.219946;0.891777;0.502257;
5;20000.000000;0.934444;0.221992;0.808312;0.760084;0.359430;0.211440;0.848811;
5;19000.000000;0.000000;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
5;20000.000000;0.005994;0.003769;0.808312;0.849421;0.359430;0.211440;0.848811;
5;27000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
5;22000.000000;0.000000;0.003769;0.708790;0.849421;0.219946;1.000000;0.653141;
5;35000.000000;0.323114;0.294907;0.808312;0.706117;0.298273;0.891777;0.502257;
5;35000.000000;0.027770;0.294907;0.808312;0.875897;0.298273;1.000000;0.502257;
5;9000.000000;0.655252;0.221992;1.000000;0.706117;0.455311;0.891777;0.955160;
5;32000.000000;0.027770;0.294907;0.808312;0.849421;0.219946;0.891777;0.355848;
5;27000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.653141;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.152321;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;24000.000000;0.027770;0.003769;0.808312;0.706117;0.359430;0.211440;0.848811;
6;17000.000000;0.000000;0.294907;1.000000;0.849421;0.359430;0.211440;0.848811;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;35000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.355848;
6;14000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.887020;0.653141;
6;35000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
6;14000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
6;20000.000000;0.902491;0.221992;0.808312;0.706117;0.429188;1.000000;0.653141;
6;20000.000000;0.000000;0.294907;0.808312;0.849421;0.359430;0.211440;0.848811;
6;35000.000000;0.000000;0.003769;0.808312;0.815876;0.298273;1.000000;0.355848;
6;30000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.502257;
6;35000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
6;32000.000000;0.027770;0.294907;0.808312;0.504129;0.219946;0.891777;0.653141;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;35000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
6;30000.000000;1.000000;0.003769;0.808312;0.815876;0.298273;1.000000;0.502257;
7;18000.000000;0.219449;0.003769;0.880183;0.504129;0.219946;0.891777;0.653141;
7;18000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
7;27000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
7;19000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
7;27000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
7;33000.000000;0.902491;0.003769;0.808312;0.589850;0.219946;0.887020;0.355848;
7;27000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
7;22000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.887020;0.653141;
7;35000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.887020;0.152321;
7;22000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.653141;
7;18000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
7;18000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
7;27000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
7;27000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
7;18000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
7;18000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
7;33000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
7;35000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.152321;
7;33000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;1.000000;0.355848;
7;23000.000000;0.902491;0.000000;0.808312;0.504129;0.219946;0.887020;0.355848;
8;35000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
8;16000.000000;0.000000;0.003769;0.880183;0.408486;0.219946;0.891777;0.653141;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
8;25000.000000;0.902491;0.003769;0.808312;0.589850;0.219946;0.887020;0.355848;
8;16000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
8;16000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
8;29000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
8;35000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.783820;
8;29000.000000;0.219449;0.003769;0.880183;0.504129;0.219946;0.887020;0.355848;
8;29000.000000;0.902491;0.077190;0.808312;0.849421;0.219946;0.887020;0.355848;
8;29000.000000;0.902491;0.000000;0.808312;0.849421;0.219946;1.000000;0.355848;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.000000;0.887020;0.355848;
8;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
8;35000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
8;22000.000000;0.219449;0.003769;0.880183;0.504129;0.219946;0.887020;0.653141;
8;35000.000000;0.219449;0.003769;0.880183;0.504129;0.219946;0.891777;0.653141;
8;12000.000000;1.000000;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
9;21000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
9;20000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
9;24000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
9;35000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
9;16000.000000;0.000000;0.003769;0.880183;0.408486;0.219946;0.891777;0.783820;
9;33000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
9;30000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
9;24000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
9;21000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
9;21000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.000000;
9;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
9;32000.000000;0.773395;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
9;35000.000000;0.219449;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
9;21000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
9;32000.000000;0.902491;0.483582;0.808312;0.504129;0.219946;0.891777;0.355848;
9;24000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.653141;
9;16000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.783820;
9;20000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.355848;
9;16000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.783820;
9;24000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.911170;0.653141;
10;36000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
10;24000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
10;30000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.700939;
10;19000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
10;32000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
10;32000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
10;36000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.891777;0.355848;
10;30000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
10;19000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
10;19000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.887020;0.355848;
10;30000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
10;30000.000000;0.219449;0.000000;0.808312;0.504129;0.219946;0.891777;0.653141;
10;30000.000000;0.219449;0.007646;0.808312;0.967684;0.219946;0.887020;0.653141;
10;36000.000000;0.902491;0.003769;0.808312;0.499645;0.219946;0.891777;0.355848;
10;19000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.394056;
10;36000.000000;0.902491;0.003769;0.808312;0.849421;0.184980;0.697132;0.810040;
10;30000.000000;0.000000;0.003769;0.808312;0.504129;0.000000;0.891777;0.653141;
10;32000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.653141;
10;30000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.653141;
10;24000.000000;0.000000;0.003769;0.808312;0.504129;0.000000;0.891777;0.163912;
11;22000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
11;35000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
11;22000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.000000;
11;23000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
11;23000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.355848;
11;22000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
11;34000.000000;0.705165;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
11;35000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
11;29000.000000;0.219449;0.003769;0.366929;0.849421;0.219946;0.887020;0.355848;
11;22000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
11;34000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
11;35000.000000;0.000000;0.070002;0.808312;0.967684;0.219946;0.887020;0.355848;
11;34000.000000;0.902491;0.003769;0.808312;0.967684;0.000000;0.887020;0.251616;
11;22000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
11;22000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
11;35000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
11;22000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
11;34000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.887020;0.251616;
11;16000.000000;0.219449;0.003769;0.808312;1.000000;0.219946;0.887020;0.653141;
11;22000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.891777;0.219713;
12;32000.000000;0.902491;0.003769;0.808312;0.967684;0.219946;0.891777;0.000000;
12;18000.000000;0.219449;0.003769;0.808312;0.504129;0.219946;0.887020;0.219713;
12;9000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.891777;0.251616;
12;32000.000000;0.219449;0.003769;0.808312;0.967684;0.000000;0.887020;0.000000;
12;14000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
12;33000.000000;0.000000;0.070002;0.808312;0.967684;0.219946;0.887020;0.355848;
12;11000.000000;0.219449;0.003769;0.808312;0.967684;0.020521;0.887020;0.686340;
12;11000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
12;33000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.257050;
12;32000.000000;0.000000;0.003769;0.808312;0.504129;0.219946;0.891777;0.000000;
12;11000.000000;0.219449;0.003769;0.808312;0.967684;0.000000;0.419342;0.257328;
12;18000.000000;0.902491;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
12;35000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
12;11000.000000;0.219449;0.000000;0.808312;0.967684;0.219946;0.887020;0.219713;
12;35000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.219713;
12;33000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
12;35000.000000;0.219449;0.003769;0.808312;0.408919;0.219946;0.887020;0.219713;
12;32000.000000;0.219449;0.003769;0.808312;1.000000;0.219946;0.891777;0.000000;
12;11000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
12;35000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
13;21000.000000;0.000000;0.003769;0.808312;0.967684;0.000000;0.887020;0.000000;
13;28000.000000;0.219449;0.003769;0.808312;0.967684;0.513585;0.887020;0.355848;
13;28000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.891777;0.000000;
13;33000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
13;21000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
13;22000.000000;0.219449;0.003769;0.808312;0.967684;0.000000;0.887020;0.219713;
13;26000.000000;0.000000;0.070002;0.808312;0.967684;0.217223;0.887020;0.355848;
13;9000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
13;33000.000000;0.219449;0.003769;0.808312;0.747752;0.219946;0.887020;0.219713;
13;22000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
13;13000.000000;0.219449;0.003769;0.808312;0.967684;0.020521;0.887020;0.219713;
13;24000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;1.000000;
13;28000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.355848;
13;26000.000000;0.000000;0.070002;0.808312;0.967684;0.219946;0.887020;0.355848;
13;9000.000000;0.000000;0.003769;0.808312;0.967684;0.314496;0.876780;0.219713;
13;13000.000000;0.219449;0.003769;0.808312;0.967684;0.614652;0.887020;0.219713;
13;13000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
13;13000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.219713;
13;26000.000000;0.000000;0.070002;0.808312;0.967684;0.219946;0.887020;0.355848;
13;20000.000000;0.219449;0.003769;0.808312;0.967684;0.219946;0.887020;0.257050;
14;24000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
14;22000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
14;24000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
14;22000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
14;31000.000000;0.000000;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
14;28000.000000;0.219449;0.003769;0.808312;0.967684;0.000000;0.887020;0.000000;
14;22000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
14;22000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
14;31000.000000;0.000000;0.003769;0.808312;0.967684;0.000000;0.876780;0.000000;
14;9000.000000;0.000000;0.003769;0.808312;0.967684;0.000000;0.887020;0.219713;
14;22000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
14;22000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
14;22000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
14;24000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
14;28000.000000;0.219449;0.003769;0.808312;1.000000;0.314496;0.887020;0.000000;
14;22000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.887020;0.219713;
14;33000.000000;0.219449;0.003769;0.808312;0.967684;0.513585;0.887020;0.355848;
14;28000.000000;0.219449;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
14;20000.000000;0.219449;0.003769;0.808312;0.747752;0.219946;0.887020;0.219713;
14;24000.000000;0.000000;0.000000;0.808312;0.967684;0.217223;0.887020;0.355848;
15;32000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;35000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;32000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;28000.000000;0.000000;0.048404;0.808312;0.967684;0.314496;0.887020;0.000000;
15;32000.000000;0.000000;0.003769;0.808312;0.967684;0.039447;0.887020;0.355848;
15;35000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;24000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
15;13000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
15;24000.000000;0.000000;0.003769;0.808312;1.000000;0.219946;0.887020;0.219713;
15;13000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
15;35000.000000;0.364196;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;28000.000000;0.000000;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
15;24000.000000;0.000000;0.003769;1.000000;1.000000;0.219946;0.887020;0.219713;
15;24000.000000;0.000000;0.343037;0.808312;1.000000;0.219946;0.887020;0.219713;
15;33000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
15;33000.000000;0.000000;0.070002;0.808312;1.000000;0.219946;0.887020;0.219713;
15;28000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.000000;
15;11000.000000;0.000000;0.003769;1.000000;0.967684;0.314496;0.887020;0.355848;
15;32000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
15;28000.000000;0.000000;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
16;13000.000000;0.000000;0.003769;1.000000;1.000000;0.217223;0.887020;0.219713;
16;33000.000000;0.000000;0.003769;0.808312;0.967684;0.219946;0.712416;0.080297;
16;33000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
16;32000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.916964;0.355848;
16;32000.000000;0.000000;0.000000;0.808312;0.967684;0.217223;0.887020;0.355848;
16;33000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
16;13000.000000;0.000000;0.102256;1.000000;0.967684;0.219946;0.887020;0.219713;
16;33000.000000;0.000000;0.003769;0.808312;0.892584;0.217223;0.887020;0.355848;
16;30000.000000;0.000000;0.048404;0.808312;0.844745;0.314496;0.887020;0.000000;
16;32000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
16;32000.000000;0.000000;0.048404;0.808312;0.967684;0.217223;0.887020;0.552121;
16;30000.000000;0.000000;0.003769;0.808312;0.967684;0.314496;0.887020;0.000000;
16;16000.000000;0.364196;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
16;26000.000000;0.000000;0.003769;0.808312;0.827711;0.217223;0.887020;0.355848;
16;35000.000000;0.000000;0.003769;0.808312;0.967684;0.217223;0.887020;0.355848;
16;16000.000000;0.364196;0.003769;0.808312;1.000000;0.217223;0.887020;0.355848;
